scenario,latency_ms
short,15
short,13
short,14
short,13
short,16
short,12
short,10
short,16
short,16
short,14
short,15
short,13
short,14
short,15
very_aggressive,20
very_aggressive,11
very_aggressive,19
very_aggressive,16
very_aggressive,16
very_aggressive,15
very_aggressive,17
very_aggressive,16
very_aggressive,17
very_aggressive,15
very_aggressive,16
very_aggressive,20
very_aggressive,17
very_aggressive,17
very_aggressive,17
very_aggressive,17
very_aggressive,17
very_aggressive,17
very_aggressive,14
very_aggressive,16
very_aggressive,16
very_aggressive,15
very_aggressive,15
very_aggressive,15
very_aggressive,17
very_aggressive,16
very_aggressive,15
very_aggressive,10
very_aggressive,16
very_aggressive,18
very_aggressive,15
very_aggressive,13
very_aggressive,14
very_aggressive,18
very_aggressive,15
very_aggressive,18
very_aggressive,17
very_aggressive,17
very_aggressive,12
very_aggressive,15
very_aggressive,16
very_aggressive,16
very_aggressive,16
very_aggressive,17
very_aggressive,14
very_aggressive,17
very_aggressive,17
very_aggressive,12
very_aggressive,14
very_aggressive,18
very_aggressive,18
very_aggressive,14
very_aggressive,15
very_aggressive,16
very_aggressive,11
very_aggressive,14
very_aggressive,13
very_aggressive,17
very_aggressive,16
very_aggressive,14
very_aggressive,12
very_aggressive,17
very_aggressive,15
very_aggressive,13
very_aggressive,16
very_aggressive,15
very_aggressive,9
very_aggressive,11
very_aggressive,15
very_aggressive,12
very_aggressive,17
very_aggressive,13
very_aggressive,14
very_aggressive,17
very_aggressive,18
very_aggressive,16
very_aggressive,12
very_aggressive,14
very_aggressive,15
very_aggressive,13
very_aggressive,16
very_aggressive,15
very_aggressive,12
very_aggressive,12
very_aggressive,15
very_aggressive,15
very_aggressive,18
very_aggressive,12
very_aggressive,10
very_aggressive,13
very_aggressive,14
very_aggressive,15
very_aggressive,12
very_aggressive,12
very_aggressive,14
very_aggressive,14
very_aggressive,11
very_aggressive,10
very_aggressive,14
very_aggressive,12
very_aggressive,14
very_aggressive,13
very_aggressive,15
very_aggressive,15
very_aggressive,15
very_aggressive,16
very_aggressive,17
very_aggressive,17
very_aggressive,14
very_aggressive,14
very_aggressive,18
very_aggressive,16
very_aggressive,12
very_aggressive,14
very_aggressive,13
very_aggressive,17
very_aggressive,15
very_aggressive,10
very_aggressive,12
very_aggressive,13
very_aggressive,12
very_aggressive,15
very_aggressive,10
very_aggressive,14
very_aggressive,14
very_aggressive,13
very_aggressive,15
very_aggressive,14
very_aggressive,14
very_aggressive,15
very_aggressive,15
very_aggressive,13
very_aggressive,12
very_aggressive,11
very_aggressive,13
very_aggressive,13
very_aggressive,14
very_aggressive,14
very_aggressive,14
very_aggressive,12
very_aggressive,13
very_aggressive,13
very_aggressive,11
very_aggressive,12
very_aggressive,12
very_aggressive,12
very_aggressive,14
very_aggressive,16
very_aggressive,14
very_aggressive,16
very_aggressive,15
very_aggressive,13
very_aggressive,16
very_aggressive,14
very_aggressive,13
very_aggressive,17
very_aggressive,14
very_aggressive,15
very_aggressive,18
very_aggressive,14
very_aggressive,16
very_aggressive,13
very_aggressive,16
very_aggressive,12
very_aggressive,14
very_aggressive,15
very_aggressive,13
very_aggressive,13
very_aggressive,15
very_aggressive,19
very_aggressive,15
very_aggressive,17
very_aggressive,18
very_aggressive,15
very_aggressive,15
very_aggressive,16
very_aggressive,13
very_aggressive,13
very_aggressive,13
very_aggressive,12
very_aggressive,16
very_aggressive,13
very_aggressive,15
very_aggressive,12
very_aggressive,14
very_aggressive,17
very_aggressive,16
very_aggressive,16
very_aggressive,15
very_aggressive,19
very_aggressive,15
very_aggressive,16
